weight,height,age,sex,activity_level,bmr,tdee,bmi,bmi_category
120,58,70,F,4,954,1107,25.07728894173603,Overweight
110,58,60,F,4,959,1112,22.987514863258028,Healthy
100,64,70,F,4,959,1112,17.1630859375,Underweight
110,58,90,F,6,809,1112,22.987514863258028,Healthy
100,62,70,F,5,927,1112,18.28824141519251,Underweight
100,58,90,M,5,929,1115,20.897740784780023,Healthy
100,60,90,M,4,961,1115,19.527777777777775,Healthy
130,60,90,F,5,931,1117,25.38611111111111,Overweight
130,62,90,F,4,963,1117,23.77471383975026,Healthy
100,58,50,F,4,963,1117,20.897740784780023,Healthy
100,58,80,F,6,813,1118,20.897740784780023,Healthy
120,62,80,F,4,968,1122,21.94588969823101,Healthy
110,68,90,F,4,967,1122,16.72361591695502,Underweight
110,66,90,F,5,936,1123,17.752525252525253,Underweight
120,60,80,F,5,936,1123,23.433333333333334,Healthy
110,62,70,F,4,972,1128,20.117065556711758,Healthy
100,66,80,F,5,940,1128,16.1386593204775,Underweight
100,68,80,F,4,972,1128,15.203287197231832,Underweight
110,60,70,F,5,940,1129,21.480555555555554,Healthy
110,58,90,M,4,975,1131,22.987514863258028,Healthy
140,60,90,F,4,977,1133,27.33888888888889,Overweight
100,62,60,F,4,977,1133,18.28824141519251,Underweight
100,60,90,F,7,795,1133,19.527777777777775,Healthy
140,58,90,F,5,945,1134,29.256837098692035,Overweight
100,60,60,F,5,945,1134,19.527777777777775,Healthy
100,58,80,M,4,979,1136,20.897740784780023,Healthy
100,62,90,F,6,827,1137,18.28824141519251,Underweight
130,60,80,F,4,981,1138,25.38611111111111,Overweight
120,66,90,F,4,981,1138,19.366391184573004,Healthy
130,58,80,F,5,949,1139,27.167063020214034,Overweight
120,64,90,F,5,949,1139,20.595703125,Healthy
110,66,80,F,4,986,1143,17.752525252525253,Underweight
120,60,70,F,4,986,1144,23.433333333333334,Healthy
120,58,70,F,5,954,1145,25.07728894173603,Overweight
110,64,80,F,5,954,1145,18.87939453125,Healthy
150,58,90,F,4,990,1149,31.346611177170033,Obese>30
100,66,70,F,4,990,1149,16.1386593204775,Underweight
110,60,60,F,4,990,1149,21.480555555555554,Healthy
110,58,60,F,5,959,1150,22.987514863258028,Healthy
100,64,70,F,5,959,1150,17.1630859375,Underweight
110,58,90,F,7,809,1152,22.987514863258028,Healthy
100,62,90,M,4,993,1152,18.28824141519251,Underweight
100,60,90,M,5,961,1153,19.527777777777775,Healthy
100,60,50,F,4,995,1154,19.527777777777775,Healthy
130,64,90,F,4,995,1154,22.31201171875,Healthy
140,58,80,F,4,995,1154,29.256837098692035,Overweight
110,60,90,F,6,840,1156,21.480555555555554,Healthy
100,58,50,F,5,963,1156,20.897740784780023,Healthy
130,62,90,F,5,963,1156,23.77471383975026,Healthy
120,64,80,F,4,999,1159,20.595703125,Healthy
110,70,90,F,4,999,1159,15.781632653061223,Underweight
100,58,80,F,7,813,1159,20.897740784780023,Healthy
130,58,70,F,4,999,1159,27.167063020214034,Overweight
110,68,90,F,5,967,1161,16.72361591695502,Underweight
120,62,80,F,5,968,1161,21.94588969823101,Healthy
100,60,80,F,6,845,1162,19.527777777777775,Healthy
120,58,60,F,4,1004,1165,25.07728894173603,Overweight
110,64,70,F,4,1004,1165,18.87939453125,Healthy
110,60,90,M,4,1006,1167,21.480555555555554,Healthy
110,62,70,F,5,972,1167,20.117065556711758,Healthy
100,68,80,F,5,972,1167,15.203287197231832,Underweight
110,58,50,F,4,1009,1170,22.987514863258028,Healthy
100,64,60,F,4,1009,1170,17.1630859375,Underweight
110,58,90,M,5,975,1170,22.987514863258028,Healthy
140,62,90,F,4,1008,1170,25.60353798126951,Overweight
100,62,60,F,5,977,1172,18.28824141519251,Underweight
140,60,90,F,5,977,1172,27.33888888888889,Overweight
100,60,80,M,4,1011,1173,19.527777777777775,Healthy
120,58,90,F,6,854,1174,25.07728894173603,Overweight
100,58,40,F,4,1013,1175,20.897740784780023,Healthy
130,62,80,F,4,1013,1175,23.77471383975026,Healthy
100,58,80,M,5,979,1175,20.897740784780023,Healthy
120,68,90,F,4,1013,1175,18.2439446366782,Underweight
130,60,80,F,5,981,1177,25.38611111111111,Overweight
120,66,90,F,5,981,1177,19.366391184573004,Healthy
100,62,90,F,7,827,1178,18.28824141519251,Underweight
110,68,80,F,4,1017,1180,16.72361591695502,Underweight
120,62,70,F,4,1018,1180,21.94588969823101,Healthy
110,58,80,F,6,859,1181,22.987514863258028,Healthy
100,64,90,F,6,859,1181,17.1630859375,Underweight
100,58,90,F,8,763,1183,20.897740784780023,Healthy
110,66,80,F,5,986,1183,17.752525252525253,Underweight
120,58,90,M,4,1020,1183,25.07728894173603,Overweight
120,60,70,F,5,986,1183,23.433333333333334,Healthy
150,60,90,F,4,1022,1185,29.291666666666664,Overweight
110,62,60,F,4,1022,1186,20.117065556711758,Healthy
100,68,70,F,4,1022,1186,15.203287197231832,Underweight
100,58,70,F,6,863,1187,20.897740784780023,Healthy
100,66,70,F,5,990,1188,16.1386593204775,Underweight
150,58,90,F,5,990,1188,31.346611177170033,Obese>30
100,64,90,M,4,1025,1189,17.1630859375,Underweight
110,60,60,F,5,990,1189,21.480555555555554,Healthy
110,58,80,M,4,1025,1189,22.987514863258028,Healthy
130,66,90,F,4,1026,1191,20.980257116620752,Healthy
100,62,50,F,4,1027,1191,18.28824141519251,Underweight
140,60,80,F,4,1027,1191,27.33888888888889,Overweight
100,62,90,M,5,993,1191,18.28824141519251,Underweight
140,58,80,F,5,995,1194,29.256837098692035,Overweight
130,64,90,F,5,995,1194,22.31201171875,Healthy
100,58,70,M,4,1029,1194,20.897740784780023,Healthy
100,60,50,F,5,995,1194,19.527777777777775,Healthy
130,60,70,F,4,1031,1196,25.38611111111111,Overweight
120,66,80,F,4,1031,1196,19.366391184573004,Healthy
110,60,90,F,7,840,1198,21.480555555555554,Healthy
110,70,90,F,5,999,1199,15.781632653061223,Underweight
130,58,70,F,5,999,1199,27.167063020214034,Overweight
110,62,90,F,6,872,1199,20.117065556711758,Healthy
120,64,80,F,5,999,1199,20.595703125,Healthy
110,66,70,F,4,1036,1201,17.752525252525253,Underweight
160,58,90,F,4,1035,1201,33.43638525564804,Obese>30
120,60,60,F,4,1036,1202,23.433333333333334,Healthy
110,62,90,M,4,1038,1204,20.117065556711758,Healthy
100,60,80,F,7,845,1204,19.527777777777775,Healthy
120,58,60,F,5,1004,1205,25.07728894173603,Overweight
110,64,70,F,5,1004,1205,18.87939453125,Healthy
100,62,80,F,6,877,1206,18.28824141519251,Underweight
140,64,90,F,4,1040,1206,24.0283203125,Healthy
110,60,50,F,4,1040,1207,21.480555555555554,Healthy
100,66,60,F,4,1040,1207,16.1386593204775,Underweight
150,58,80,F,4,1040,1207,31.346611177170033,Obese>30
110,60,90,M,5,1006,1208,21.480555555555554,Healthy
140,62,90,F,5,1008,1210,25.60353798126951,Overweight
100,64,60,F,5,1009,1210,17.1630859375,Underweight
100,62,80,M,4,1043,1210,18.28824141519251,Underweight
110,58,50,F,5,1009,1210,22.987514863258028,Healthy
130,64,80,F,4,1045,1212,22.31201171875,Healthy
120,70,90,F,4,1045,1212,17.216326530612243,Underweight
100,60,40,F,4,1045,1212,19.527777777777775,Healthy
140,58,70,F,4,1045,1212,29.256837098692035,Overweight
100,60,80,M,5,1011,1213,19.527777777777775,Healthy
120,68,90,F,5,1013,1215,18.2439446366782,Underweight
100,58,40,F,5,1013,1216,20.897740784780023,Healthy
130,62,80,F,5,1013,1216,23.77471383975026,Healthy
110,70,80,F,4,1049,1217,15.781632653061223,Underweight
120,58,90,F,7,854,1217,25.07728894173603,Overweight
120,64,70,F,4,1049,1217,20.595703125,Healthy
130,58,60,F,4,1049,1217,27.167063020214034,Overweight
120,60,90,F,6,886,1218,23.433333333333334,Healthy
120,60,90,M,4,1052,1220,23.433333333333334,Healthy
120,62,70,F,5,1018,1221,21.94588969823101,Healthy
110,68,80,F,5,1017,1221,16.72361591695502,Underweight
150,62,90,F,4,1054,1222,27.43236212278876,Overweight
110,64,60,F,4,1054,1223,18.87939453125,Healthy
120,58,50,F,4,1054,1223,25.07728894173603,Overweight
100,64,90,F,7,859,1223,17.1630859375,Underweight
100,66,90,F,6,890,1224,16.1386593204775,Underweight
120,58,90,M,5,1020,1224,25.07728894173603,Overweight
110,58,80,F,7,859,1224,22.987514863258028,Healthy
110,60,80,F,6,890,1224,21.480555555555554,Healthy
100,66,90,M,4,1056,1225,16.1386593204775,Underweight
110,60,80,M,4,1056,1225,21.480555555555554,Healthy
150,60,90,F,5,1022,1226,29.291666666666664,Overweight
110,62,60,F,5,1022,1227,20.117065556711758,Healthy
100,68,70,F,5,1022,1227,15.203287197231832,Underweight
130,68,90,F,4,1058,1227,19.764273356401386,Healthy
140,62,80,F,4,1058,1228,25.60353798126951,Overweight
100,64,50,F,4,1059,1228,17.1630859375,Underweight
110,58,40,F,4,1059,1228,22.987514863258028,Healthy
100,58,70,F,7,863,1230,20.897740784780023,Healthy
100,64,90,M,5,1025,1230,17.1630859375,Underweight
110,58,80,M,5,1025,1230,22.987514863258028,Healthy
100,60,70,M,4,1061,1231,19.527777777777775,Healthy
100,60,70,F,6,895,1231,19.527777777777775,Healthy
140,60,80,F,5,1027,1232,27.33888888888889,Overweight
100,60,90,F,8,795,1232,19.527777777777775,Healthy
130,66,90,F,5,1026,1232,20.980257116620752,Healthy
100,62,50,F,5,1027,1232,18.28824141519251,Underweight
120,68,80,F,4,1063,1233,18.2439446366782,Underweight
100,58,30,F,4,1063,1233,20.897740784780023,Healthy
130,62,70,F,4,1063,1233,23.77471383975026,Healthy
100,58,70,M,5,1029,1235,20.897740784780023,Healthy
130,58,90,M,4,1065,1236,27.167063020214034,Overweight
120,66,80,F,5,1031,1237,19.366391184573004,Healthy
130,58,90,F,6,899,1237,27.167063020214034,Overweight
130,60,70,F,5,1031,1237,25.38611111111111,Overweight
120,62,60,F,4,1068,1238,21.94588969823101,Healthy
160,60,90,F,4,1067,1238,31.244444444444447,Obese>30
110,68,70,F,4,1067,1238,16.72361591695502,Underweight
110,64,90,M,4,1070,1241,18.87939453125,Healthy
120,58,80,M,4,1070,1241,25.07728894173603,Overweight
110,66,70,F,5,1036,1243,17.752525252525253,Underweight
150,60,80,F,4,1072,1243,29.291666666666664,Overweight
140,66,90,F,4,1072,1243,22.594123048668507,Healthy
110,62,90,F,7,872,1243,20.117065556711758,Healthy
110,64,90,F,6,904,1243,18.87939453125,Healthy
160,58,90,F,5,1035,1243,33.43638525564804,Obese>30
120,60,60,F,5,1036,1243,23.433333333333334,Healthy
120,58,80,F,6,904,1243,25.07728894173603,Overweight
100,68,60,F,4,1072,1244,15.203287197231832,Underweight
110,62,50,F,4,1072,1244,20.117065556711758,Healthy
110,62,90,M,5,1038,1246,20.117065556711758,Healthy
110,58,70,M,4,1075,1247,22.987514863258028,Healthy
100,64,80,M,4,1075,1247,17.1630859375,Underweight
150,58,80,F,5,1040,1248,31.346611177170033,Obese>30
100,66,60,F,5,1040,1248,16.1386593204775,Underweight
140,64,90,F,5,1040,1248,24.0283203125,Healthy
100,62,80,F,7,877,1249,18.28824141519251,Underweight
140,60,70,F,4,1077,1249,27.33888888888889,Overweight
110,58,70,F,6,909,1249,22.987514863258028,Healthy
110,60,50,F,5,1040,1249,21.480555555555554,Healthy
130,66,80,F,4,1076,1249,20.980257116620752,Healthy
100,62,40,F,4,1077,1249,18.28824141519251,Underweight
100,64,80,F,6,909,1249,17.1630859375,Underweight
120,72,90,F,4,1076,1249,16.27314814814815,Underweight
100,62,80,M,5,1043,1251,18.28824141519251,Underweight
100,58,60,M,4,1079,1252,20.897740784780023,Healthy
110,58,90,F,8,809,1253,22.987514863258028,Healthy
120,70,90,F,5,1045,1253,17.216326530612243,Underweight
170,58,90,F,4,1081,1254,35.52615933412604,Obese>35
130,60,60,F,4,1081,1254,25.38611111111111,Overweight
120,66,70,F,4,1081,1254,19.366391184573004,Healthy
100,60,40,F,5,1045,1254,19.527777777777775,Healthy
130,64,80,F,5,1045,1254,22.31201171875,Healthy
140,58,70,F,5,1045,1254,29.256837098692035,Overweight
100,58,60,F,6,913,1256,20.897740784780023,Healthy
120,62,90,M,4,1084,1257,21.94588969823101,Healthy
110,66,60,F,4,1086,1259,17.752525252525253,Underweight
110,70,80,F,5,1049,1259,15.781632653061223,Underweight
130,58,60,F,5,1049,1259,27.167063020214034,Overweight
150,64,90,F,4,1085,1259,25.74462890625,Overweight
120,64,70,F,5,1049,1259,20.595703125,Healthy
160,58,80,F,4,1085,1259,33.43638525564804,Obese>30
120,60,50,F,4,1086,1260,23.433333333333334,Healthy
100,58,80,F,8,813,1261,20.897740784780023,Healthy
110,62,80,M,4,1088,1262,20.117065556711758,Healthy
120,60,90,M,5,1052,1262,23.433333333333334,Healthy
120,60,90,F,7,886,1262,23.433333333333334,Healthy
100,68,90,M,4,1088,1262,15.203287197231832,Underweight
120,62,90,F,6,918,1262,21.94588969823101,Healthy
140,64,80,F,4,1090,1264,24.0283203125,Healthy
150,62,90,F,5,1054,1264,27.43236212278876,Overweight
130,70,90,F,4,1090,1264,18.651020408163266,Healthy
110,60,40,F,4,1090,1265,21.480555555555554,Healthy
110,64,60,F,5,1054,1265,18.87939453125,Healthy
120,58,50,F,5,1054,1265,25.07728894173603,Overweight
150,58,70,F,4,1090,1265,31.346611177170033,Obese>30
100,66,50,F,4,1090,1265,16.1386593204775,Underweight
100,66,90,M,5,1056,1268,16.1386593204775,Underweight
110,60,80,M,5,1056,1268,21.480555555555554,Healthy
110,62,80,F,6,922,1268,20.117065556711758,Healthy
100,68,90,F,6,922,1268,15.203287197231832,Underweight
100,62,70,M,4,1093,1268,18.28824141519251,Underweight
110,60,80,F,7,890,1269,21.480555555555554,Healthy
100,66,90,F,7,890,1269,16.1386593204775,Underweight
130,68,90,F,5,1058,1270,19.764273356401386,Healthy
140,58,60,F,4,1095,1270,29.256837098692035,Overweight
120,70,80,F,4,1095,1270,17.216326530612243,Underweight
110,58,40,F,5,1059,1270,22.987514863258028,Healthy
100,64,50,F,5,1059,1270,17.1630859375,Underweight
130,64,70,F,4,1095,1270,22.31201171875,Healthy
100,60,30,F,4,1095,1270,19.527777777777775,Healthy
140,62,80,F,5,1058,1270,25.60353798126951,Overweight
100,60,70,M,5,1061,1273,19.527777777777775,Healthy
130,60,90,M,4,1097,1273,25.38611111111111,Overweight
100,62,70,F,6,927,1274,18.28824141519251,Underweight
130,58,50,F,4,1099,1275,27.167063020214034,Overweight
120,64,60,F,4,1099,1275,20.595703125,Healthy
110,70,70,F,4,1099,1275,15.781632653061223,Underweight
120,68,80,F,5,1063,1275,18.2439446366782,Underweight
160,62,90,F,4,1099,1275,29.261186264308012,Overweight
130,62,70,F,5,1063,1276,23.77471383975026,Healthy
100,60,70,F,7,895,1276,19.527777777777775,Healthy
100,58,30,F,5,1063,1276,20.897740784780023,Healthy
110,66,90,M,4,1102,1278,17.752525252525253,Underweight
100,58,90,M,6,929,1278,20.897740784780023,Healthy
120,60,80,M,4,1102,1278,23.433333333333334,Healthy
130,58,90,M,5,1065,1279,27.167063020214034,Overweight
140,68,90,F,4,1104,1280,21.284602076124568,Healthy
150,62,80,F,4,1104,1280,27.43236212278876,Overweight
130,60,90,F,6,931,1280,25.38611111111111,Overweight
120,62,60,F,5,1068,1281,21.94588969823101,Healthy
110,64,50,F,4,1104,1281,18.87939453125,Healthy
120,58,40,F,4,1104,1281,25.07728894173603,Overweight
160,60,90,F,5,1067,1281,31.244444444444447,Obese>30
110,68,70,F,5,1067,1281,16.72361591695502,Underweight
130,58,90,F,7,899,1282,27.167063020214034,Overweight
100,62,90,F,8,827,1282,18.28824141519251,Underweight
110,60,70,M,4,1106,1283,21.480555555555554,Healthy
100,66,80,M,4,1106,1283,16.1386593204775,Underweight
120,58,80,M,5,1070,1284,25.07728894173603,Overweight
110,64,90,M,5,1070,1284,18.87939453125,Healthy
130,68,80,F,4,1108,1285,19.764273356401386,Healthy
120,74,90,F,4,1108,1285,15.405405405405405,Underweight
100,64,40,F,4,1109,1286,17.1630859375,Underweight
140,62,70,F,4,1108,1286,25.60353798126951,Overweight
110,58,30,F,4,1109,1286,22.987514863258028,Healthy
140,66,90,F,5,1072,1286,22.594123048668507,Healthy
150,60,80,F,5,1072,1286,29.291666666666664,Overweight
110,62,50,F,5,1072,1287,20.117065556711758,Healthy
110,66,90,F,6,936,1287,17.752525252525253,Underweight
100,68,60,F,5,1072,1287,15.203287197231832,Underweight
120,60,80,F,6,936,1287,23.433333333333334,Healthy
120,58,80,F,7,904,1288,25.07728894173603,Overweight
110,64,90,F,7,904,1288,18.87939453125,Healthy
100,60,60,M,4,1111,1289,19.527777777777775,Healthy
140,58,90,M,4,1111,1289,29.256837098692035,Overweight
100,64,80,M,5,1075,1290,17.1630859375,Underweight
110,58,70,M,5,1075,1290,22.987514863258028,Healthy
130,62,60,F,4,1113,1291,23.77471383975026,Healthy
120,68,70,F,4,1113,1291,18.2439446366782,Underweight
100,58,20,F,4,1113,1291,20.897740784780023,Healthy
170,60,90,F,4,1113,1291,33.19722222222222,Obese>30
140,60,70,F,5,1077,1292,27.33888888888889,Overweight
130,66,80,F,5,1076,1292,20.980257116620752,Healthy
120,72,90,F,5,1076,1292,16.27314814814815,Underweight
100,62,40,F,5,1077,1292,18.28824141519251,Underweight
110,60,70,F,6,940,1293,21.480555555555554,Healthy
100,66,80,F,6,940,1293,16.1386593204775,Underweight
130,58,80,M,4,1115,1294,27.167063020214034,Overweight
120,64,90,M,4,1115,1294,20.595703125,Healthy
100,64,80,F,7,909,1295,17.1630859375,Underweight
110,58,70,F,7,909,1295,22.987514863258028,Healthy
100,58,60,M,5,1079,1295,20.897740784780023,Healthy
160,60,80,F,4,1117,1296,31.244444444444447,Obese>30
110,68,60,F,4,1117,1296,16.72361591695502,Underweight
150,66,90,F,4,1117,1296,24.207988980716255,Healthy
120,62,50,F,4,1118,1296,21.94588969823101,Healthy
130,60,60,F,5,1081,1297,25.38611111111111,Overweight
170,58,90,F,5,1081,1297,35.52615933412604,Obese>35
120,66,70,F,5,1081,1297,19.366391184573004,Healthy
140,58,90,F,6,945,1299,29.256837098692035,Overweight
120,58,70,M,4,1120,1299,25.07728894173603,Overweight
110,64,80,M,4,1120,1299,18.87939453125,Healthy
120,62,90,M,5,1084,1300,21.94588969823101,Healthy
100,60,60,F,6,945,1300,19.527777777777775,Healthy
140,66,80,F,4,1122,1301,22.594123048668507,Healthy
130,72,90,F,4,1122,1301,17.629243827160494,Underweight
150,60,70,F,4,1122,1301,29.291666666666664,Overweight
150,64,90,F,5,1085,1302,25.74462890625,Overweight
110,62,40,F,4,1122,1302,20.117065556711758,Healthy
100,58,60,F,7,913,1302,20.897740784780023,Healthy
100,68,50,F,4,1122,1302,15.203287197231832,Underweight
110,60,90,F,8,840,1303,21.480555555555554,Healthy
120,60,50,F,5,1086,1303,23.433333333333334,Healthy
110,66,60,F,5,1086,1303,17.752525252525253,Underweight
160,58,80,F,5,1085,1303,33.43638525564804,Obese>30
120,64,90,F,6,949,1305,20.595703125,Healthy
130,58,80,F,6,949,1305,27.167063020214034,Overweight
100,64,70,M,4,1125,1305,17.1630859375,Underweight
110,58,60,M,4,1125,1305,22.987514863258028,Healthy
180,58,90,F,4,1126,1306,37.61593341260404,Obese>35
100,68,90,M,5,1088,1306,15.203287197231832,Underweight
110,62,80,M,5,1088,1306,20.117065556711758,Healthy
130,66,70,F,4,1126,1307,20.980257116620752,Healthy
140,60,60,F,4,1127,1307,27.33888888888889,Overweight
100,62,30,F,4,1127,1307,18.28824141519251,Underweight
120,72,80,F,4,1126,1307,16.27314814814815,Underweight
100,66,50,F,5,1090,1308,16.1386593204775,Underweight
150,58,70,F,5,1090,1308,31.346611177170033,Obese>30
120,62,90,F,7,918,1308,21.94588969823101,Healthy
130,70,90,F,5,1090,1308,18.651020408163266,Healthy
140,64,80,F,5,1090,1308,24.0283203125,Healthy
110,60,40,F,5,1090,1309,21.480555555555554,Healthy
100,58,50,M,4,1129,1310,20.897740784780023,Healthy
130,62,90,M,4,1129,1310,23.77471383975026,Healthy
100,60,80,F,8,845,1310,19.527777777777775,Healthy
100,62,70,M,5,1093,1311,18.28824141519251,Underweight
160,64,90,F,4,1131,1312,27.4609375,Overweight
130,60,50,F,4,1131,1312,25.38611111111111,Overweight
120,58,70,F,6,954,1312,25.07728894173603,Overweight
170,58,80,F,4,1131,1312,35.52615933412604,Obese>35
110,64,80,F,6,954,1312,18.87939453125,Healthy
120,66,60,F,4,1131,1312,19.366391184573004,Healthy
120,70,80,F,5,1095,1313,17.216326530612243,Underweight
100,60,30,F,5,1095,1314,19.527777777777775,Healthy
130,64,70,F,5,1095,1314,22.31201171875,Healthy
110,62,80,F,7,922,1314,20.117065556711758,Healthy
100,68,90,F,7,922,1314,15.203287197231832,Underweight
140,58,60,F,5,1095,1314,29.256837098692035,Overweight
110,68,90,M,4,1133,1315,16.72361591695502,Underweight
120,62,80,M,4,1134,1315,21.94588969823101,Healthy
150,64,80,F,4,1135,1317,25.74462890625,Overweight
110,66,50,F,4,1136,1317,17.752525252525253,Underweight
130,60,90,M,5,1097,1317,25.38611111111111,Overweight
160,58,70,F,4,1135,1317,33.43638525564804,Obese>30
140,70,90,F,4,1135,1317,20.085714285714285,Healthy
110,58,60,F,6,959,1318,22.987514863258028,Healthy
100,64,70,F,6,959,1318,17.1630859375,Underweight
120,60,40,F,4,1136,1318,23.433333333333334,Healthy
130,58,50,F,5,1099,1319,27.167063020214034,Overweight
110,70,70,F,5,1099,1319,15.781632653061223,Underweight
160,62,90,F,5,1099,1319,29.261186264308012,Overweight
120,64,60,F,5,1099,1319,20.595703125,Healthy
100,68,80,M,4,1138,1320,15.203287197231832,Underweight
110,62,70,M,4,1138,1320,20.117065556711758,Healthy
100,62,70,F,7,927,1321,18.28824141519251,Underweight
120,60,80,M,5,1102,1322,23.433333333333334,Healthy
130,70,80,F,4,1140,1322,18.651020408163266,Healthy
140,64,70,F,4,1140,1322,24.0283203125,Healthy
110,66,90,M,5,1102,1322,17.752525252525253,Underweight
100,60,90,M,6,961,1322,19.527777777777775,Healthy
110,60,30,F,4,1140,1323,21.480555555555554,Healthy
100,66,40,F,4,1140,1323,16.1386593204775,Underweight
150,58,60,F,4,1140,1323,31.346611177170033,Obese>30
140,68,90,F,5,1104,1324,21.284602076124568,Healthy
130,62,90,F,6,963,1324,23.77471383975026,Healthy
150,62,80,F,5,1104,1324,27.43236212278876,Overweight
120,58,90,F,8,854,1324,25.07728894173603,Overweight
100,58,90,M,7,929,1324,20.897740784780023,Healthy
120,58,40,F,5,1104,1325,25.07728894173603,Overweight
140,60,90,M,4,1143,1325,27.33888888888889,Overweight
100,58,50,F,6,963,1325,20.897740784780023,Healthy
110,64,50,F,5,1104,1325,18.87939453125,Healthy
100,62,60,M,4,1143,1326,18.28824141519251,Underweight
130,60,90,F,7,931,1327,25.38611111111111,Overweight
170,62,90,F,4,1144,1327,31.09001040582726,Obese>30
140,58,50,F,4,1145,1328,29.256837098692035,Overweight
110,60,70,M,5,1106,1328,21.480555555555554,Healthy
100,66,80,M,5,1106,1328,16.1386593204775,Underweight
120,70,70,F,4,1145,1328,17.216326530612243,Underweight
100,60,20,F,4,1145,1328,19.527777777777775,Healthy
130,64,60,F,4,1145,1328,22.31201171875,Healthy
120,62,80,F,6,968,1330,21.94588969823101,Healthy
110,68,90,F,6,967,1330,16.72361591695502,Underweight
110,58,30,F,5,1109,1330,22.987514863258028,Healthy
120,74,90,F,5,1108,1330,15.405405405405405,Underweight
140,62,70,F,5,1108,1330,25.60353798126951,Overweight
130,68,80,F,5,1108,1330,19.764273356401386,Healthy
100,64,40,F,5,1109,1330,17.1630859375,Underweight
100,64,90,F,8,859,1331,17.1630859375,Underweight
130,60,80,M,4,1147,1331,25.38611111111111,Overweight
110,58,80,F,8,859,1331,22.987514863258028,Healthy
120,66,90,M,4,1147,1331,19.366391184573004,Healthy
